date,team_a,team_b,team_a_form,team_b_form,form_diff,h2h_win_rate,elo_a,elo_b,elo_diff,team_a_won
2005-02-17,New Zealand,Australia,0.5,0.5,0.0,0.5,1500.0,1500.0,0.0,0
2005-06-13,England,Australia,0.5,1.0,-0.5,0.5,1500.0,1510.0,-10.0,1
2005-10-21,South Africa,New Zealand,0.5,0.0,0.5,0.5,1500.0,1490.0,10.0,0
2006-01-09,Australia,South Africa,0.5,0.0,0.5,0.5,1499.71225631668,1489.71225631668,10.0,1
2006-02-24,South Africa,Australia,0.0,0.6666666666666666,-0.6666666666666666,0.0,1480.0,1509.42451263336,-29.42451263335988,1
2006-06-15,England,Sri Lanka,1.0,0.5,0.5,0.5,1510.28774368332,1500.0,10.28774368332006,0
2006-08-28,England,Pakistan,0.5,0.5,0.0,0.5,1499.9917251272818,1500.0,-0.0082748727181751,0
2006-12-01,South Africa,India,0.3333333333333333,0.5,-0.16666666666666669,0.5,1490.8448865370851,1500.0,-9.15511346291487,0
2006-12-22,New Zealand,Sri Lanka,0.5,1.0,-0.5,0.5,1500.28774368332,1510.2960185560382,-10.008274872718175,0
2006-12-26,New Zealand,Sri Lanka,0.3333333333333333,1.0,-0.6666666666666667,0.0,1490.5757253392628,1520.0080369000957,-29.43231156083266,1
2007-01-09,Australia,England,0.5,0.3333333333333333,0.16666666666666669,0.0,1498.5796260962748,1489.991963297264,8.587662799010786,1
2007-06-28,England,West Indies,0.25,0.5,-0.25,0.5,1480.239085777627,1500.0,-19.760914222373003,0
2007-06-29,England,West Indies,0.2,1.0,-0.8,0.0,1470.8072380959682,1509.4318476816588,-38.62460958569068,1
2007-09-01,Kenya,Bangladesh,0.5,0.5,0.0,0.5,1500.0,1500.0,0.0,0
2007-09-02,Bangladesh,Pakistan,1.0,1.0,0.0,0.5,1510.0,1509.999761830018,0.0002381699821398,0
2007-09-04,Kenya,Pakistan,0.0,1.0,-1.0,0.5,1490.0,1519.999768685101,-29.99976868510089,0
2007-09-11,South Africa,West Indies,0.25,0.5,-0.25,0.5,1481.1083309129515,1498.32469934293,-17.216368429978502,1
2007-09-12,Australia,Zimbabwe,0.6,0.5,0.09999999999999998,0.5,1508.3325036159115,1500.0,8.332503615911719,0
2007-09-12,Pakistan,Scotland,1.0,0.5,0.5,0.5,1529.1384454530416,1500.0,29.13844545304164,1
2007-09-12,Kenya,New Zealand,0.0,0.5,-0.5,0.5,1480.8613232320592,1501.420834744752,-20.55951151269278,0
2007-09-13,Bangladesh,West Indies,0.5,0.3333333333333333,0.16666666666666669,0.5,1499.999993144917,1487.829577612388,12.170415532528978,1
2007-09-13,England,Zimbabwe,0.2,1.0,-0.8,0.5,1481.914386434697,1510.2397827618229,-28.325396327125645,1
2007-09-14,Kenya,Sri Lanka,0.0,0.6666666666666666,-0.6666666666666666,0.5,1471.4523837996649,1509.1629274946065,-37.71054369494141,0
2007-09-14,Australia,England,0.4,0.4,0.0,0.5,1498.092720854089,1492.7278553909348,5.364865463154274,1
2007-09-15,New Zealand,Sri Lanka,0.6,0.75,-0.15000000000000002,0.5,1510.8297741771464,1518.081773109626,-7.251998932479637,0
2007-09-15,South Africa,Bangladesh,0.4,0.6666666666666666,-0.2666666666666666,0.5,1491.6034526434937,1509.6498436329157,-18.04639098942198,1
2007-09-16,South Africa,England,0.6,0.4,0.19999999999999996,0.5,1502.1224029146183,1482.8822563601418,19.240146554476496,1
2007-09-16,India,New Zealand,1.0,0.6,0.4,0.5,1509.7365556241336,1501.0384731773736,8.698082446760054,0
2007-09-16,Australia,Bangladesh,0.6,0.5,0.09999999999999998,0.5,1507.938319884882,1499.1308933617906,8.807426523091408,1
2007-09-17,Pakistan,Sri Lanka,1.0,0.8,0.19999999999999996,0.5,1538.3017343834367,1527.8730741093989,10.428660274037838,1
2007-09-18,Australia,Pakistan,0.6,1.0,-0.4,0.5,1517.68487605857,1548.001663524827,-30.316787466256983,0
2007-09-18,England,New Zealand,0.4,0.6,-0.19999999999999996,0.5,1473.4354669025945,1511.2887718247498,-37.8533049221553,0
2007-09-18,Bangladesh,Sri Lanka,0.4,0.6,-0.19999999999999996,0.5,1489.3843371881026,1518.1731449680085,-28.788807779905937,0
2007-09-19,England,India,0.4,0.5,-0.09999999999999998,0.5,1464.5206820754988,1499.4862569767574,-34.965574901258606,0
2007-09-19,South Africa,New Zealand,0.8,0.8,0.0,0.0,1511.5691923721656,1520.2035566518457,-8.634364279679858,1
2007-09-20,South Africa,India,0.8,0.6666666666666666,0.13333333333333341,0.0,1521.8176582038411,1508.483250767923,13.334407435918138,0
2007-09-20,Australia,Sri Lanka,0.6,0.6,0.0,0.5,1508.5552554174917,1527.346427665432,-18.791172247940267,1
2007-09-20,Bangladesh,Pakistan,0.2,1.0,-0.8,0.0,1480.211054490679,1557.1312841659055,-76.92022967522644,0
2007-09-22,Australia,India,0.6,0.75,-0.15000000000000002,0.5,1519.0955820750703,1518.8668575345089,0.2287245405616431,0
2007-09-22,New Zealand,Pakistan,0.6,1.0,-0.4,0.5,1509.95509082017,1564.9528190026058,-54.99772818243582,0
2007-09-24,India,Pakistan,0.8,1.0,-0.19999999999999996,0.5,1528.8734407550266,1573.3829477323227,-44.50950697729604,1
2007-10-20,India,Australia,0.8,0.6,0.20000000000000007,1.0,1540.1475647254829,1509.0889988545528,31.058565870930124,1
2007-11-23,South Africa,New Zealand,0.8,0.4,0.4,0.5,1511.4340514372552,1501.524962090453,9.909089346802148,1
2007-12-11,Australia,New Zealand,0.4,0.4,0.0,1.0,1499.9805626035125,1491.8100913016794,8.170471301833004,1
2007-12-16,South Africa,West Indies,0.8,0.25,0.55,1.0,1521.1489222260288,1478.1797271243895,42.96919510163934,0
2008-01-18,South Africa,West Indies,0.6,0.4,0.19999999999999996,0.5,1509.9184366487611,1489.4102127016572,20.508223947103943,1
